playername,playerid,team,1920salary,2021salary,2122salary,2223salary,2324salary,2425salary,signedusing,guaranteed
Isaiah Roby,robyis01,OKC,"$1,500,000 ","$1,517,981 ","$1,782,621 ","$1,930,681 ",,,MLE,"$3,017,981 "
Nigel Williams-Goss,willini01,UTA,"$1,500,000 ","$1,517,981 ","$1,782,621 ",,,,Cap Space,"$1,500,000 "
J.R. Smith,smithjr01,CLE,"$1,456,667 ","$1,456,667 ","$1,456,666 ",,,,,"$4,370,000 "
Shake Milton,miltosh01,PHI,"$1,445,697 ","$1,701,593 ","$1,846,738 ","$1,997,718 ",,,Cap Space,"$4,994,028 "
Thanasis Antetokounmpo,antetth01,MIL,"$1,445,697 ","$1,701,593 ",,,,,Minimum Salary,"$3,147,290 "
Amile Jefferson,jeffeam01,ORL,"$1,445,697 ",,,,,,,"$1,445,697 "
Theo Pinson,pinsoth01,NYK,"$1,445,697 ","$1,701,593 ",,,,,Minimum Salary,"$1,445,697 "
Brad Wanamaker,wanambr01,BOS,"$1,445,697 ",,,,,,Minimum Salary,"$1,445,697 "
Derrick Walton,waltode01,ATL,"$1,445,697 ",,,,,,,"$1,445,697 "
Ryan Broekhoff,broekry01,DAL,"$1,443,842 ",,,,,,,"$1,443,842 "
Gary Trent,trentga02,POR,"$1,416,852 ","$1,663,861 ",,,,,MLE,"$3,080,713 "
Isaac Bonga,bongais01,WAS,"$1,416,852 ","$1,663,861 ",,,,,Cap Space,"$1,416,852 "
Chimezie Metu,metuch01,SAS,"$1,416,852 ","$1,663,861 ",,,,,MLE,"$1,416,852 "
Jevon Carter,carteje01,PHO,"$1,416,852 ",,,,,,MInimum Salary,"$1,416,852 "
Elie Okobo,okoboel01,PHO,"$1,416,852 ","$1,663,861 ","$1,802,057 ",,,,Cap Space,"$1,416,852 "
Melvin Frazier,frazime01,ORL,"$1,416,852 ","$1,663,861 ",,,,,MLE,"$1,416,852 "
Deonte Burton,burtode02,OKC,"$1,416,852 ","$1,663,861 ",,,,,Minimum Salary,"$1,416,852 "
Hamidou Diallo,diallha01,OKC,"$1,416,852 ","$1,663,861 ",,,,,MLE,"$1,416,852 "
Kenrich Williams,willike04,NOP,"$1,416,852 ",,,,,,Minimum Salary,"$1,416,852 "
Jarred Vanderbilt,vandeja01,MIN,"$1,416,852 ","$1,663,861 ",,,,,Cap Space,"$1,416,852 "
Duncan Robinson,robindu01,MIA,"$1,416,852 ","$1,663,861 ",,,,,MLE,"$1,416,852 "
Kendrick Nunn,nunnke01,MIA,"$1,416,852 ","$1,663,861 ",,,,,Minimum Salary,"$1,416,852 "
De'Anthony Melton,meltode01,MEM,"$1,416,852 ",,,,,,Cap Space,"$1,416,852 "
Alize Johnson,johnsal02,IND,"$1,416,852 ",,,,,,Minimum Salary,"$1,416,852 "
Isaiah Hartenstein,harteis01,HOU,"$1,416,852 ",,,,,,,"$1,416,852 "
Sviatoslav Mykhailiuk,mykhasv01,DET,"$1,416,852 ","$1,663,861 ",,,,,Cap Space,"$1,416,852 "
